RULES,,,,,
,,,,,
BARREL,,,,,
,,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,,
9510,1,1-44,1-4,,
9410,1,1-44,5-8,,
5711,2,1-44,1-4,,
5611,2,1-44,5-8,,
7712,3,1-44,1-4,,
7612,3,1-44,5-8,,
,,,,,
ENDCAP,,,,,
,,,,,
TEMPLATE ID ,DISK,BLADE,SIDE,PANEL,PLAQUETTE
5613,1-3,1-24,1-2,1-2,1
7614,1-3,1-24,1-2,1-2,2
6415,1-3,1-24,1-2,1-2,3-4
,,,,,
EXCEPTIONS,,,,,
,,,,,
BARREL,,,,,
,,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,,
5616,1,1,5,,
5616,1,1,7,,
5616,1,3,5,,
5616,1,4,6-7,,
5616,1,16,7,,
5616,1,17,6,,
5616,1,19,5-6,,
6417,2,1,6-7,,
6417,2,2,6,,
6417,2,3,6,,
6417,2,4,2,,
6417,2,4,6,,
6417,2,5,6,,
6417,2,5,8,,
6417,2,6,5,,
6417,2,7,5-6,,
6417,2,8,8,,
6417,2,29,5-6,,
6417,2,31,6-7,,
6417,2,32,6-8,,
4818,3,1,1,,
4818,3,1,3-5,,
4818,3,1,8,,
4818,3,3,4,,
4818,3,4,8,,
4818,3,6,5,,
4818,3,8,2,,
4818,3,9,5-6,,
4818,3,9,8,,
4818,3,10,8,,
4818,3,34,8,,
4818,3,38,5,,
4818,3,41,6,,
4818,3,43,3,,
4818,3,43,7-8,,
4818,3,44,6,,
,,,,,
ENDCAP,,,,,
,,,,,
TEMPLATE ID ,DISK,BLADE,SIDE,PANEL,PLAQUETTE
